Name:	KIT-SIMBA-013-2.081
Channel:	81
Tester	Maccor #4
Procedure	SIMBA.000
Description	SIMBA-Capacity_test
Started	06/05/2021 11:23:46
SCap	0,017
C Rate	0,003
Ch. max. V	6,00 V
DisCh. min. V	0,00 V
Ch. max. I	5,000 A
DisCh. max. I	5,000 A

Rec	Cycle P	Cycle C	Step	TestTime	StepTime	Cap. [Ah]	Ener. [Wh]	Current [A]	Voltage [V]	Md	ES	DPT Time	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15
80	0	1	1	79,000000	79,000000	0,00000000	0,00000000	0,00000000	0,1510	R	1	06/05/2021 12:42:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
81	0	1	1	80,000000	80,000000	0,00000000	0,00000000	0,00000000	0,1511	R	1	06/05/2021 12:43:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
82	0	1	1	81,000000	81,000000	0,00000000	0,00000000	0,00000000	0,1511	R	1	06/05/2021 12:44:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
83	0	1	1	82,000000	82,000000	0,00000000	0,00000000	0,00000000	0,1511	R	1	06/05/2021 12:45:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
84	0	1	1	83,000000	83,000000	0,00000000	0,00000000	0,00000000	0,1512	R	1	06/05/2021 12:46:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
85	0	1	1	84,000000	84,000000	0,00000000	0,00000000	0,00000000	0,1510	R	1	06/05/2021 12:47:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
86	0	1	1	85,000000	85,000000	0,00000000	0,00000000	0,00000000	0,1512	R	1	06/05/2021 12:48:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
87	0	1	1	86,000000	86,000000	0,00000000	0,00000000	0,00000000	0,1512	R	1	06/05/2021 12:49:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
88	0	1	1	87,000000	87,000000	0,00000000	0,00000000	0,00000000	0,1511	R	1	06/05/2021 12:50:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
89	0	1	1	88,000000	88,000000	0,00000000	0,00000000	0,00000000	0,1511	R	1	06/05/2021 12:51:46	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000	0,0000
